AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt
00357DG   ,41167,22512_XFER,22512,I,101,202,127.1
00357DG   ,41171,BONS_VEGA,0,I,0,0,7.49
00357DG   ,41194,22512_XFER,22512,I,294,625,946.9
00357DG   ,41194,22522_SALE,22522,I,0,0,25
00357DG   ,41206,BONS_VEGA,0,I,0,0,50
00357DG   ,41207,22512_XFER,22512,I,136,272,142.6
00357DG   ,41208,612,0,I,38,76,26.25
00357DG   ,41208,22512_XFER,22512,I,237,461,210.3
00357DG   ,41212,BONS_GAM,0,I,0,0,4.98
00357DG   ,41213,BONS_VEGA,0,I,0,0,38.01
00357DG   ,41215,22522_SALE,22522,I,0,0,25
00357DG   ,41215,22512_XFER,22512,I,437,1580,1337.1
00357DG   ,41216,22512_XFER,22512,I,118,416,316.4
00357DG   ,41218,22512_XFER,22512,I,709,3158,3208.1
00357DG   ,41219,22512_XFER,22512,I,1056,4113,3992.2
00357DG   ,41219,22522_SALE,22522,I,0,0,20
00357DG   ,41220,BONS_VEGA,0,I,0,0,41.32
00357DG   ,41221,613,0,I,178,354,203
00357DG   ,41221,22512_XFER,22512,I,1482,5652.4,3412.6
00357DG   ,41222,22522_SALE,22522,I,0,0,20
00357DG   ,41222,22512_XFER,22512,I,619,2428,2557.6
00357DG   ,41223,22508_RTNS,22508,I,0,0,6.85
00357DG   ,41223,22508_STKE,22508,I,27,49.8,0
00357DG   ,41223,22512_XFER,22512,I,826,3192,2335
00357DG   ,41223,22522_SALE,22522,I,0,0,25
00357DG   ,41224,BONS_VEGA,0,I,0,0,70
00357DG   ,41225,22512_XFER,22512,I,1042,6538,5236.3
00357DG   ,41225,612,0,I,351,1640,1325.25
00357DG   ,41225,613,0,I,988,8472.6,8829.2
00357DG   ,41225,BONS_GAM,0,I,0,0,15.3
00357DG   ,41226,22512_XFER,22512,I,242,1835,1662.5
00357DG   ,41226,612,0,I,16,96,35.25
00357DG   ,41226,613,0,I,182,1114.75,649.15
00357DG   ,41227,BONS_VEGA,0,I,0,0,444.14
00357DG   ,41227,638,0,I,24,48,9.25
00357DG   ,41227,635,0,I,131,785.5,575.95
00357DG   ,41227,601,0,I,17,72,20.5
00357DG   ,41227,22522_SALE,22522,I,0,0,20
00357DG   ,41227,22512_XFER,22512,I,1201,9154.2,7138.3
00357DG   ,41228,635,0,I,204,1134,918.5
00357DG   ,41228,638,0,I,12,24,3
00357DG   ,41228,BONS_VEGA,0,I,0,0,200
00357DG   ,41228,22522_SALE,22522,I,0,0,45
00357DG   ,41228,22512_XFER,22512,I,1152,12133,11300.9
00357DG   ,41229,22512_XFER,22512,I,92,656,304.7
00357DG   ,41230,22512_XFER,22512,I,1469,15204,14758.8
00357DG   ,41230,22528_PRCH,22528,I,1,20,0
00357DG   ,41230,275,5,I,2,100,0
00357DG   ,41230,635,0,I,29,82,32.3
00357DG   ,41230,638,0,I,133,602,548.1
00357DG   ,41232,22512_XFER,22512,I,1007,6918,3831.35
00357DG   ,41232,635,0,I,107,321,141.6
00357DG   ,41232,638,0,I,45,90,19.5
00357DG   ,41232,BONS_GAM,0,I,0,0,50
00357DG   ,41233,22512_XFER,22512,I,711,6529,3679.25
00357DG   ,41233,22522_SALE,22522,I,0,0,50
00357DG   ,41233,601,0,I,32,64,15
00357DG   ,41233,635,0,I,178,907,681.8
00357DG   ,41233,638,0,I,58,116,90
00357DG   ,41234,22512_XFER,22512,I,58,324,124.2
00357DG   ,41234,BONS_VEGA,0,I,0,0,1058.09
00357DG   ,41235,22512_XFER,22512,I,340,3310,2005
00357DG   ,41236,22512_XFER,22512,I,998,8534,7082
00357DG   ,41236,BONS_VEGA,0,I,0,0,100
00357DG   ,41237,22512_XFER,22512,I,2026,19280.8,17904.5
00357DG   ,41237,22522_SALE,22522,I,0,0,75
00357DG   ,41239,182,0,I,63,126,91.66
00357DG   ,41239,22512_XFER,22512,I,1859,16078.5,12299.52
00357DG   ,41239,635,0,I,76,564,347.9
00357DG   ,41239,BONS_GAM,0,I,0,0,55.21
00357DG   ,41240,22512_XFER,22512,I,1415,19835,18639.15
00357DG   ,41240,BONS_VEGA,0,I,0,0,350
00357DG   ,41241,22512_XFER,22512,I,507,11614,8729.6
00357DG   ,41241,22522_SALE,22522,I,0,0,100
00357DG   ,41241,BONS_VEGA,0,I,0,0,930.8
00357DG   ,41242,22512_XFER,22512,I,323,5018,2367.3
00357DG   ,41242,BONS_VEGA,0,I,0,0,250
00357DG   ,41243,22512_XFER,22512,I,920,15000,10169.8
00357DG   ,41243,638,0,I,30,60,40.25
00357DG   ,41244,BONS_VEGA,0,I,0,0,400
00357DG   ,41246,BONS_GAM,0,I,0,0,27.02
00357DG   ,41248,22512_XFER,22512,I,557,11176,9751.6
00357DG   ,41248,22522_SALE,22522,I,0,0,70
00357DG   ,41248,635,0,I,33,151,41.6
00357DG   ,41248,BONS_VEGA,0,I,0,0,1036.53
00357DG   ,41249,22512_XFER,22512,I,42,420,255
00357DG   ,41251,22512_XFER,22512,I,19,148,17.3
00357DG   ,41253,BONS_GAM,0,I,0,0,11.14
00357DG   ,41254,CSH_PPAL,0,I,0,295.21,0
00357DG   ,41255,BONS_VEGA,0,I,0,0,172.01
00497XG   ,41154,434,0,I,0,0,4.95
00497XG   ,41154,452,0,I,369,228.31,123.36
00497XG   ,41155,452,0,I,19,4.7,2.4
00497XG   ,41155,453,0,I,32,18.6,9.35
00497XG   ,41155,BONS_GAM,0,I,0,0,11.55
00497XG   ,41164,BONS_GAM,0,I,0,0,1.16
00497XG   ,41186,452,0,I,14,1.36,0.2
00497XG   ,41267,579,0,I,0,0,922
00497XG   ,41267,616,0,I,0,0,42.5
00497XG   ,41267,638,0,I,1797,4031.29,3325.75
00497XG   ,41268,,0,I,0,0,194
00497XG   ,41268,579,0,I,0,0,328.05
00497XG   ,41268,638,0,I,1198,3938.31,2457.3
00497XG   ,41269,579,0,I,0,0,447.9
00497XG   ,41269,616,0,I,0,0,20
00497XG   ,41269,638,0,I,986,2742.5,1674.6
00497XG   ,41270,638,0,I,1230,3295.93,2748.83
00497XG   ,41270,,0,I,0,0,83.9
00497XG   ,41270,579,0,I,0,0,242.5
00497XG   ,41270,601,0,I,1190,7450.2,6870.91
00497XG   ,41273,579,0,I,0,0,221
00497XG   ,41273,601,0,I,85,222.4,156.5
00497XG   ,41273,638,0,I,617,1540.05,1295.26
00497XG   ,41274,579,0,I,0,0,198
00497XG   ,41274,601,0,I,256,1130.8,912.28
00497XG   ,41274,638,0,I,817,1180.12,590.33
00775SM   ,41167,2,9,I,1,10,0
00775SM   ,41168,2,9,I,1,10,0
00775SM   ,41169,2,9,I,1,6,9
00775SM   ,41169,22512_XFER,22512,I,15,24.6,4.75
00775SM   ,41169,38,9,I,4,4,23.4
00775SM   ,41170,452,0,I,16,34.75,2.25
00775SM   ,41171,BONS_VEGA,0,I,0,0,1.99
00775SM   ,41171,38,9,I,3,3,16.9
00775SM   ,41171,453,0,I,1,2,0
00775SM   ,41172,2,9,I,2,18,0
00775SM   ,41172,22512_XFER,22512,I,12,24,4.4
00775SM   ,41172,38,9,I,5,5,0
00775SM   ,41172,452,0,I,7,12.8,1.9
00775SM   ,41175,2,9,I,2,10,15.38
00775SM   ,41175,22512_XFER,22512,I,9,30.77,15.47
00775SM   ,41175,452,0,I,1,0.25,0
00775SM   ,41176,BONS_GAM,0,I,0,0,1.32
00775SM   ,41177,452,0,I,24,49.25,27.75
00775SM   ,41178,BONS_VEGA,0,I,0,0,3.49
00775SM   ,41181,452,0,I,25,36.5,33
00775SM   ,41182,22508_RTNS,22508,I,0,0,346
00775SM   ,41182,22508_STKE,22508,I,123,403.1,0
00775SM   ,41182,22528_PRCH,22528,I,1,20,0
00775SM   ,41183,BONS_GAM,0,I,0,0,2.5
00775SM   ,41184,452,0,I,3,5.25,0
00775SM   ,41189,2,9,I,1,5,26
00775SM   ,41189,22508_RTNS,22508,I,0,0,526
00775SM   ,41189,22508_STKE,22508,I,569,587.2,0
00775SM   ,41195,22512_XFER,22512,I,20,39,9
00775SM   ,41199,BONS_VEGA,0,I,0,0,3
00775SM   ,41202,22508_STKE,22508,I,2,2.9,0
00775SM   ,41238,635,0,I,13,0.13,0
00C017    ,41153,22527_PRCH,22527,I,2,281,0
00C017    ,41154,22527_PRCH,22527,I,3,445,0
00C017    ,41155,22527_PRCH,22527,I,2,300,0
00C017    ,41157,22527_PRCH,22527,I,1,122,0
00C017    ,41158,22527_PRCH,22527,I,1,100,0
00C017    ,41159,22527_PRCH,22527,I,2,500,0
